category,top_keys
政治,"[('民進黨', 23), ('侯友宜', 20), ('羅森柏格', 15), ('柯文哲', 13), ('羅智強', 13), ('黎安友', 13), ('蔡沐霖', 12), ('國民黨', 12), ('中共', 11), ('蓋拉格', 9), ('連戰', 8), ('李晏榕', 8), ('陳信瑜', 8), ('楊懿珊', 7), ('李喜明', 7), ('陳右豪', 6), ('帕斯卡爾', 5), ('王幼玲', 5), ('古柏', 5), ('賴坤成', 5), ('台立', 4), ('黃呂錦茹', 4), ('錢益友', 4), ('蔡英文', 4), ('周威佑', 4), ('賴清德', 4), ('吳濬彥', 4), ('布林肯', 4), ('湯庫思', 3), ('民眾黨', 3), ('許修睿', 3), ('林寬裕', 3), ('曾厚仁', 3), ('沈榮欽', 3), ('薛哲', 2), ('杜文珍', 2), ('藍營', 2), ('慕雷莉', 2), ('台義', 2), ('郭璽', 2), ('徐紹展', 2), ('共產黨', 2), ('林男固', 2), ('彭博', 2), ('聯合報', 1), ('霸凌', 1), ('聯合', 1), ('智庫', 1), ('印太', 1), ('李淳', 1), ('黃鈞耀', 1), ('盧思融', 1), ('歐盟國家', 1), ('義國', 1), ('普世', 1), ('碧玲', 1), ('周美伍', 1), ('廖德成', 1), ('裴洛西', 1), ('蓬佩奧', 1), ('蘇起', 1), ('萬世師表', 1), ('孔子', 1), ('近平', 1), ('賴當', 1), ('侯友宜主', 1), ('馬英九', 1), ('賴好', 1), ('性平', 1), ('日經', 1), ('習近平', 1), ('勃恩斯', 1), ('習近平已', 1), ('拜登', 1), ('歐盟', 1), ('羅森柏格羅森柏格', 1), ('希拉蕊', 1), ('盟友', 1), ('侯友宜在', 1), ('淡江', 1), ('廖雨詩', 1), ('賴副', 1), ('賴副總統同', 1), ('賴副總統', 1), ('史丹佛', 1), ('胡佛', 1), ('祁凱立', 1), ('寧捨', 1), ('凱立', 1), ('王美玉', 1), ('精鏡', 1), ('黃珊珊', 1), ('傅崐萁', 1), ('黃煌雄', 1), ('閻鐵', 1), ('寧艦', 1), ('資通電軍', 1), ('資通電軍人', 1), ('林佳龍', 1), ('張惇涵', 1), ('顧立雄', 1), ('邱國正', 1), ('梅家樹', 1), ('唐華', 1), ('蔣正國', 1), ('李戴', 1)]"
科技,"[('吳政忠', 18), ('吳宗信', 9), ('李育杰', 9), ('蘇姿丰', 9), ('維珍銀河', 7), ('廖俊智', 7), ('巴拉德', 5), ('卡西尼號', 5), ('馬克宏', 5), ('鍾佳濱', 4), ('土星', 4), ('土衛二', 4), ('維珍', 3), ('古柏', 3), ('元翎', 3), ('銘安', 3), ('土衛', 2), ('聯發科', 2), ('許大山', 2), ('張智星', 2), ('周杰倫', 2), ('清華', 2), ('陳容歆', 2), ('輝達', 2), ('超微', 2), ('台英', 2), ('史考利', 2), ('胡育誠', 2), ('沃提卡', 2), ('福衛', 1), ('福衛九號', 1), ('網通', 1), ('澤倫斯基', 1), ('徐美雯', 1), ('廣達', 1), ('聯寶', 1), ('緯創', 1), ('英業達', 1), ('柯格拉齊', 1), ('中正', 1), ('周遭', 1), ('楚爾', 1), ('彩碤新', 1), ('錫力', 1), ('張建宏', 1), ('邱麗蓮', 1), ('波斯柏格', 1), ('木星衛星', 1), ('木衛二', 1), ('萊恩', 1), ('格萊恩', 1), ('特斯拉', 1), ('馬斯克', 1), ('梵谷', 1), ('歐盟', 1), ('鴻海', 1), ('國泰金', 1), ('聯發', 1), ('紅隊', 1), ('安德魯．', 1), ('清華大學', 1), ('勞倫斯柏克萊', 1), ('均豪精密', 1), ('振東', 1), ('均豪', 1), ('雲科大', 1), ('王愉應', 1), ('博正', 1), ('許茂新', 1), ('容歆', 1), ('超微在', 1), ('佛里曼', 1), ('巴特', 1), ('巴特談', 1), ('廖俊智赴星', 1), ('史蒂法諾普洛', 1), ('尼爾森', 1), ('法新社', 1)]"
運動,"[('布林肯', 16), ('莫迪', 13), ('歐盟', 8), ('小馬可仕', 6), ('美光', 6), ('基輔', 5), ('汪文斌', 5), ('華為', 5), ('聖母', 4), ('蘇利文', 4), ('岸田內閣', 4), ('方濟各', 3), ('赫布林', 3), ('羅慕德斯', 3), ('彭博', 3), ('紙風車', 3), ('張錫聰', 3), ('民主黨', 3), ('岸田文雄', 2), ('自民黨', 2), ('比頗傑', 2), ('天主教', 2), ('費南度', 2), ('傑梅利', 2), ('拜登', 2), ('江原道', 2), ('布林肯訪', 2), ('康達', 2), ('王勇', 2), ('趙通', 2), ('康貝爾', 2), ('克里契科', 2), ('拉瑪佛沙', 2), ('中國行', 2), ('秋葉剛男', 2), ('柏格', 2), ('劉世忠', 2), ('葉菊蘭', 2), ('波普科', 1), ('愛國者', 1), ('加藤勝彥本', 1), ('賈克豪港', 1), ('安莎通訊社', 1), ('瑪利亞', 1), ('法新社', 1), ('濟各', 1), ('賀錦麗', 1), ('辛赫', 1), ('多瓦爾', 1), ('印度時報', 1), ('莫迪訪美', 1), ('翼龍', 1), ('塞西', 1), ('黃溪連', 1), ('馬永火山', 1), ('馬可仕', 1), ('越戰期間', 1), ('莫迪雄心勃勃', 1), ('卡拉馬塔', 1), ('魯馬納', 1), ('弗拉喬尼科洛斯', 1), ('秦剛通', 1), ('秦剛更', 1), ('川普', 1), ('布林', 1), ('卡內基', 1), ('奧斯', 1), ('人民日報', 1), ('印太', 1), ('秦剛', 1), ('中共', 1), ('王毅', 1), ('習近平', 1), ('波迪爾區', 1), ('習近平簡報', 1), ('趙太庸', 1), ('安約', 1), ('山宛然', 1), ('李厚慶', 1), ('歐趴', 1), ('李恩善', 1), ('魏嘏雋', 1), ('植田和男', 1), ('長井滋人', 1), ('公明黨', 1), ('國民', 1), ('田內閣', 1), ('立憲民主黨主席', 1), ('泉健太', 1), ('共產黨', 1), ('布勒東', 1)]"
證卷,"[('黎智英', 24), ('美光', 12), ('中共', 8), ('布林肯', 8), ('比爾蓋茲', 8), ('蘋果', 5), ('胡永偉', 4), ('梅西', 4), ('力成', 4), ('蓋茲', 4), ('朱有勇', 3), ('袁靜婷', 3), ('微信', 3), ('習近平', 3), ('巴丟草', 3), ('孟晚舟', 3), ('高盛', 3), ('恆生', 3), ('邸姓', 2), ('人民日報', 2), ('星島', 2), ('晶科', 2), ('夏羅', 2), ('蘋果日報', 2), ('李家超', 2), ('歐文', 2), ('黎崇恩', 2), ('許志永', 2), ('歐盟', 2), ('華爾街日報', 2), ('付凌暉', 2), ('姚東曄', 2), ('華為', 2), ('馮小剛', 2), ('奧運站', 2), ('微軟', 2), ('房仲', 1), ('平族', 1), ('某某', 1), ('梅西10號', 1), ('邸男', 1), ('紅星', 1), ('許傳萍', 1), ('柯凱馨', 1), ('張明琛', 1), ('詹志宏', 1), ('退林', 1), ('明報', 1), ('阿古智子', 1), ('楊祝暉', 1), ('羅特拉', 1), ('紐約', 1), ('共和黨', 1), ('盧比歐', 1), ('科爾尼', 1), ('石宇', 1), ('楊金', 1), ('福特', 1), ('特洛伊木馬', 1), ('蓋拉格', 1), ('愛迪達', 1), ('耐吉', 1), ('黃偉強', 1), ('李宇軒', 1), ('國安', 1), ('國安法案', 1), ('張劍虹', 1), ('陳沛敏', 1), ('楊清奇', 1), ('黎智英兒子', 1), ('維吾爾', 1), ('穆斯林', 1), ('丁家喜', 1), ('余文生和', 1), ('許艷', 1), ('六四', 1), ('歐盟沙卡洛夫', 1), ('權獎', 1), ('伊力哈木', 1), ('土赫提', 1), ('郭飛雄', 1), ('高智晟', 1), ('藏族', 1), ('黃之', 1), ('鄒幸彤', 1), ('量聯行', 1), ('龐溟', 1), ('凱投', 1), ('伊凡斯－', 1), ('普瑞查德', 1), ('瓦爾拉莫夫談', 1), ('涅奇波連科', 1), ('蒲亭', 1), ('伯納托維茨', 1), ('魏驕', 1), ('巴丟草推特', 1), ('湖北日報', 1), ('證券', 1), ('惠購', 1), ('朱丹蓬', 1), ('證券日報', 1), ('百勝', 1), ('蘇敬軾', 1), ('薄扶林', 1), ('微博', 1), ('清華', 1), ('美媒', 1), ('古瑞瓦特', 1), ('周杰倫', 1), ('藥師幫', 1), ('網聯', 1), ('鐘曉敏', 1), ('王立新', 1), ('張簡珍', 1), ('富邦', 1), ('華一', 1), ('台青', 1)]"
產經,"[('鴻海', 19), ('凌忠嫄', 16), ('英特爾', 7), ('黃男州', 7), ('劉揚偉', 7), ('兆捷', 7), ('邱月琴', 6), ('裕融', 6), ('台水', 6), ('唐鳳', 5), ('新光', 5), ('雷仲達', 5), ('兆豐', 5), ('胡南澤', 5), ('汎德永業', 4), ('高啟全', 4), ('王道銀', 3), ('陳茂欽', 3), ('新光一號', 3), ('兆豐金', 3), ('大馬', 3), ('李泰宏', 3), ('汎德', 3), ('龔明鑫', 2), ('漢民', 2), ('海陸家赫', 2), ('駱怡君', 2), ('戴維斯', 2), ('台證', 2), ('陳逸鴻', 2), ('傑仕堡', 2), ('彭淮南', 2), ('胡光華', 2), ('康怡', 2), ('臺產', 2), ('裕隆', 2), ('永業', 2), ('保時捷', 2), ('簡學仁', 2), ('谷歌', 1), ('莫羅尼', 1), ('莫吉斯卡', 1), ('莫杰斯卡', 1), ('鳳參', 1), ('謝瑞丹', 1), ('弗羅茨瓦夫', 1), ('歐盟', 1), ('歐盟產能', 1), ('培力', 1), ('111年', 1), ('凱聖', 1), ('松村', 1), ('聚興產業園區', 1), ('凱聖工業', 1), ('緹花', 1), ('王道', 1), ('明山', 1), ('駱錦明', 1), ('簡志明', 1), ('台軒', 1), ('林坤正', 1), ('李榮慶', 1), ('艾貝投資', 1), ('鄭誠禎', 1), ('台雅', 1), ('陳俊仁', 1), ('怡昌投資', 1), ('湯維慎', 1), ('胡富雄', 1), ('林鴻光', 1), ('江威娜', 1), ('王傳芬', 1), ('林隆政', 1), ('簡立峰', 1), ('盧希鵬', 1), ('簡宏偉', 1), ('高嘉良', 1), ('季增率', 1), ('台證金融', 1), ('兆豐金控', 1), ('蕭家旗', 1), ('蔡炯民', 1), ('林謙浩', 1), ('劉佩真', 1), ('張兆順', 1), ('兆豐銀行', 1), ('雷仲', 1), ('微軟', 1), ('索尼', 1), ('戴爾', 1), ('亞馬遜', 1), ('元太', 1), ('誠品', 1), ('葉非比', 1), ('李文鉦', 1), ('尚文青快閃店', 1), ('紙綸', 1), ('極山', 1), ('聯創達', 1), ('鴻辰', 1), ('歐盟CE', 1), ('歐萊德', 1), ('麥拉寧', 1), ('章遠智', 1), ('陳昭鋒', 1), ('劉秀香', 1), ('吳美齡', 1), ('汪威信', 1), ('勇信', 1), ('張中周', 1), ('陳炳甫', 1), ('宋道平', 1), ('山悅', 1), ('李建成', 1), ('張良吉', 1), ('黃貞靜', 1), ('蔣念祖', 1), ('黃志傑', 1), ('雲聯網', 1), ('台新金', 1), ('凌忠', 1), ('台新金控', 1), ('汎德永', 1), ('南亞科', 1), ('聯電', 1), ('顧大成', 1), ('電特氣體', 1), ('施宣麟', 1), ('盧森堡', 1), ('楊雅慧', 1), ('孫世偉', 1), ('陳春山', 1), ('雨都', 1)]"
娛樂,"[('華碩', 8), ('王必勝', 6), ('英特爾', 6), ('歐盟', 6), ('霸凌', 6), ('幼童', 6), ('蔣中正', 6), ('巴比妥', 5), ('台彩', 5), ('寶成', 5), ('蔡沐霖', 5), ('蔣公', 5), ('波蘭無畏', 4), ('BZD ', 4), ('蔡其昌', 4), ('力行', 4), ('黃偉哲', 4), ('羊曉東涉', 3), ('劉揚偉', 3), ('民進黨', 3), ('仁德區', 3), ('世新', 3), ('陳玉敏', 3), ('莊人祥', 3), ('實劉揚偉', 2), ('羊曉東', 2), (' 賽前', 2), ('雙贏彩', 2), (' 賽', 2), ('波蘭', 2), ('徐造華', 2), ('施志昌', 2), ('劉政彥', 2), ('建興', 2), ('林淑芬', 2), ('劉福昇', 2), ('高寶華', 2), ('部立', 1), ('鄭舜平', 1), ('新北', 1), ('民進黨性平', 1), ('高大谷翔平', 1), ('王 ', 1), ('新高大', 1), ('谷翔', 1), ('雙北桃園5', 1), ('台彩公布', 1), ('高大', 1), ('BZD 新北：', 1), ('劉玉娟', 1), ('新高大谷翔平', 1), ('巴丟草拒', 1), ('新高大谷翔', 1), ('巴丟草拒撤', 1), ('BZD', 1), ('綠電', 1), ('5號', 1), ('海墘', 1), ('王勝宗', 1), ('福住里長', 1), ('吳添福', 1), ('謝俊雄', 1), ('碧玲', 1), ('瑞岩', 1), ('巨鯊', 1), ('歐氏', 1), ('哥布林鯊', 1), ('關原', 1), ('蔣萬安', 1), ('蔣萬安說', 1), ('布洛赫球', 1), ('雲專區', 1), ('華碩電腦', 1)]"
生活,"[('國民黨', 10), ('新北', 8), ('盧姓', 8), ('簡男', 7), ('林姓', 5), ('陳姓', 5), ('高智雄', 5), ('邱男', 5), ('郭男', 5), ('林慶豐', 4), ('江姓', 4), ('楊男', 4), ('新北市', 3), ('巴比妥', 3), ('新光', 3), ('林婦', 3), ('江姓主嫌', 2), ('夏男', 2), ('張男', 2), ('蔡清祥', 2), ('邱姓', 2), ('陳明偉', 2), ('吉的堡', 2), ('劉和然', 2), ('張明文', 2), ('蔣萬安', 2), ('明起', 2), ('長庚', 1), ('聯新', 1), ('聖保祿', 1), ('敏盛', 1), ('新北檢', 1), ('廖姓', 1), ('江媽', 1), ('新北檢警', 1), ('張姓行員', 1), ('魏姓行員', 1), ('林松宏', 1), ('詹姓', 1), ('林婦家', 1), ('林姓婦', 1), ('林姓婦人', 1), ('線民', 1), ('楊姓', 1), ('民夏姓', 1), ('張姓', 1), ('張男駕車', 1), ('貝瑞塔', 1), ('張男座', 1), ('張男持槍', 1), ('天主教聖馬爾定', 1), ('呂永魁', 1), ('陳新君', 1), ('洪瑞芬', 1), ('郭昭吟', 1), ('楊麒嘉', 1), ('李奇哲', 1), ('林依成', 1), ('葉容芳', 1), ('黃紋綦', 1), ('廖舒屏', 1), ('蕭有', 1), ('王啟旭', 1), ('林子翔', 1), ('許恭仁', 1), ('陳振義', 1), ('洪敏超', 1), ('柯學航', 1), ('劉怡君', 1), ('三專生', 1), ('張榮發', 1), ('國民黨價額', 1), ('簡男如', 1), ('邱嫌', 1), ('鄭姓', 1), ('施姓女子', 1), ('明義', 1), ('施女', 1), ('施女經', 1), ('郭姓', 1), ('賴姓', 1), ('郭男住處', 1), ('林男', 1), ('謝姓', 1), ('歸仁', 1), ('鐘姓', 1), ('盧母', 1), ('仁德區', 1), ('謝姓男子', 1), ('鐘男', 1), ('理律', 1), ('許辰舟', 1), ('張靜', 1), ('張靜立於', 1), ('張靜案', 1), ('陳女', 1), ('陽明', 1)]"
國際,[]
社會,[]
文化,[]
